eGRID subregion acronym,eGRID subregion name,Total output emission rates (lb/MWh),CH_,N_O,CO_e,Annual NO_,Ozone Season NO_,SO_,Non-baseload output emission rates (lb/MWh),CH_,N_O,CO_e,Annual NO_,Ozone Season NO_,SO_,Grid Gross Loss (%)
AKGD,ASCC Alaska Grid,899.6,0.086,0.012,905.1,5.6,6.2,0.310,"1,077.6",0.116,0.016,"1,085.0",6.4,7.0,0.463,4.1%
AKMS,ASCC Miscellaneous,520.5,0.026,0.004,522.4,8.1,7.9,0.708,"1,548.6",0.067,0.012,"1,553.7",24.4,23.6,2.110,4.1%
AZNM,WECC Southwest,703.7,0.039,0.005,706.2,0.4,0.4,0.103,"1,175.1",0.063,0.008,"1,179.1",0.6,0.6,0.171,4.1%
CAMX,WECC California,428.5,0.025,0.003,430.0,0.3,0.3,0.020,958.3,0.048,0.006,961.2,0.6,0.6,0.041,4.1%
ERCT,ERCOT All,733.9,0.043,0.006,736.6,0.4,0.5,0.319,"1,242.7",0.075,0.010,"1,247.5",0.9,0.9,0.656,4.2%
FRCC,FRCC All,782.3,0.041,0.005,784.8,0.2,0.2,0.128,981.7,0.043,0.006,984.4,0.3,0.3,0.150,4.2%
HIMS,HICC Miscellaneous,"1,123.4",0.146,0.022,"1,133.3",7.6,7.2,4.489,"1,596.4",0.170,0.027,"1,608.2",11.7,11.6,6.169,4.4%
HIOA,HICC Oahu,"1,489.5",0.134,0.021,"1,498.9",3.9,3.7,4.280,"1,753.4",0.159,0.025,"1,764.6",4.5,4.3,5.041,4.4%
MROE,MRO East,"1,397.3",0.116,0.017,"1,405.0",1.0,1.0,0.277,"1,701.2",0.159,0.023,"1,711.7",1.1,1.2,0.365,4.2%
MROW,MRO West,920.1,0.097,0.014,926.6,0.7,0.8,0.896,"1,776.7",0.180,0.026,"1,788.6",1.4,1.4,1.575,4.2%
NEWE,NPCC New England,539.3,0.063,0.008,543.2,0.3,0.3,0.116,885.1,0.067,0.009,889.3,0.4,0.3,0.137,4.2%
NWPP,WECC Northwest,631.7,0.054,0.008,635.3,0.6,0.5,0.268,"1,613.4",0.146,0.021,"1,623.0",1.6,1.6,0.752,4.1%
NYCW,NPCC NYC/Westchester,864.5,0.022,0.002,865.7,0.2,0.3,0.024,976.9,0.019,0.002,978.0,0.4,0.4,0.011,4.2%
NYLI,NPCC Long Island,"1,180.7",0.140,0.018,"1,189.3",0.8,0.8,0.331,"1,316.4",0.050,0.006,"1,319.4",0.8,0.7,0.126,4.2%
NYUP,NPCC Upstate NY,242.1,0.011,0.001,242.8,0.1,0.1,0.027,909.3,0.041,0.005,911.8,0.4,0.4,0.103,4.2%
PRMS,Puerto Rico Miscellaneous,"1,543.1",0.077,0.012,"1,548.5",3.9,4.1,3.695,"1,636.7",0.072,0.012,"1,642.0",4.4,4.7,4.735,
RFCE,RFC East,596.9,0.036,0.005,599.2,0.2,0.2,0.212,"1,175.6",0.077,0.010,"1,180.5",0.6,0.6,0.618,4.2%
RFCM,RFC Michigan,970.6,0.082,0.012,976.0,0.5,0.5,0.564,"1,508.1",0.144,0.020,"1,517.6",0.9,0.8,1.020,4.2%
RFCW,RFC West,911.4,0.071,0.010,916.1,0.4,0.4,0.412,"1,757.4",0.161,0.023,"1,768.0",1.0,0.8,0.877,4.2%
RMPA,WECC Rockies,"1,036.6",0.090,0.013,"1,042.5",0.5,0.5,0.329,"1,620.7",0.124,0.018,"1,628.8",0.9,0.9,0.469,4.1%
SPNO,SPP North,862.0,0.087,0.012,867.7,0.5,0.6,0.137,"1,892.1",0.188,0.027,"1,904.5",1.1,1.0,0.296,4.2%
SPSO,SPP South,872.0,0.054,0.008,875.6,0.7,0.8,0.658,"1,476.3",0.093,0.013,"1,482.4",1.3,1.3,1.182,4.2%
SRMV,SERC Mississippi Valley,739.7,0.032,0.004,741.7,0.5,0.5,0.351,"1,145.5",0.061,0.008,"1,149.4",0.9,1.0,0.857,4.2%
SRMW,SERC Midwest,"1,239.8",0.132,0.019,"1,248.6",0.8,0.6,1.636,"1,818.6",0.190,0.027,"1,831.1",1.7,1.1,2.157,4.2%
SRSO,SERC South,842.3,0.056,0.008,846.0,0.3,0.3,0.162,"1,386.0",0.096,0.014,"1,392.3",0.7,0.6,0.298,4.2%
SRTV,SERC Tennessee Valley,898.1,0.079,0.011,903.3,0.4,0.4,0.427,"1,665.8",0.154,0.022,"1,676.0",0.7,0.6,0.829,4.2%
SRVC,SERC Virginia/Carolina,593.4,0.045,0.006,596.3,0.3,0.3,0.152,"1,286.8",0.100,0.014,"1,293.3",0.7,0.7,0.376,4.2%
U.S.,,767.2,0.057,0.008,770.9,0.5,0.5,0.359,"1,372.5",0.102,0.014,"1,379.2",0.9,0.9,0.684,4.2%
,,,,,,,,,,,,,,,Created:,03/27/2025
